seconds_elapsed,gyroscope_z,gyroscope_y,gyroscope_x,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,gyroscopeUncalibrated_z,gyroscopeUncalibrated_y,gyroscopeUncalibrated_x,orientation_yaw,orientation_qx,orientation_qz,orientation_roll,orientation_qw,orientation_qy,orientation_pitch,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,compass_magneticBearing,accelerometer_z,accelerometer_y,accelerometer_x
0.000000,0.005437,-0.034414,0.130118,148.641636,-1.000000,-1.000000,52.223706,118.051636,-1.000000,293.058453,2.536240,20.940881,-1.000000,0.015503,-0.021645,0.140021,-2.237637,0.173544,-0.852808,0.109872,0.431708,-0.237120,0.587496,-0.793972,-0.525146,0.117958,148.221599,0.367693,-0.066132,-0.001201
0.100000,-0.012254,-0.003020,-0.038712,,,,,,,,,,,-0.009246,-0.009347,-0.035064,-2.236478,0.173446,-0.852177,0.107296,0.431725,-0.239425,0.591766,-0.793309,-0.561060,0.078569,149.170581,0.310787,-0.032087,-0.097859
0.200000,-0.030216,0.028665,0.179458,,,,,,,,,,,-0.026760,0.020903,0.167282,-2.237834,0.172363,-0.853320,0.108322,0.431536,-0.236417,0.585061,-0.898540,-0.546938,0.082002,148.141348,-0.692584,0.052288,-0.086334
0.300000,-0.188228,0.080878,0.452574,,,,,,,,,,,-0.187038,0.079098,0.457216,-2.260621,0.188350,-0.849696,0.132628,0.423169,-0.251829,0.627816,-0.785968,-0.572350,0.130424,155.692642,0.167211,0.139649,0.232341
0.400000,-0.238665,0.227685,0.246155,148.641636,-1.000000,-1.000000,52.223791,118.051636,-1.000000,35.000000,2.333421,20.941482,-1.000000,-0.235728,0.223042,0.245762,-2.290997,0.202918,-0.848071,0.161735,0.412899,-0.262835,0.660308,-0.760268,-0.615839,0.082751,162.115954,0.193482,-0.025748,-0.430741
0.500000,-0.391659,0.066320,-0.254744,146.253540,0.710000,17.532653,52.223815,115.663540,327.304688,17.729367,16.000000,20.941212,0.000000,-0.388940,0.062925,-0.249182,-2.325875,0.216189,-0.850412,0.202249,0.403238,-0.259608,0.663545,-0.653961,-0.639529,0.106598,167.526390,1.122107,-0.218385,-0.495726
0.600000,-0.084944,-0.629892,0.217449,,,,,,,,,,,-0.091501,-0.625325,0.222045,-2.365894,0.211016,-0.859318,0.205718,0.386725,-0.259484,0.655160,-0.820508,-0.557562,0.187862,166.461020,-0.416801,0.496428,0.234649
0.700000,0.701155,-0.467200,-0.244926,,,,,,,,,,,0.702136,-0.478087,-0.246313,-2.330892,0.175589,-0.862424,0.115841,0.390147,-0.270113,0.646894,-0.822295,-0.569228,0.145934,152.172974,-0.289864,0.307339,0.514402
0.800000,0.205087,-0.121670,-0.006674,,,,,,,,,,,0.206914,-0.127106,-0.010835,-2.270432,0.155007,-0.857737,0.055465,0.408683,-0.270586,0.632133,-0.844717,-0.600375,0.049780,142.625005,-0.376218,-0.082179,0.046700
0.900000,0.024226,-0.085811,0.093014,,,,,,,,,,,0.027346,-0.089532,0.092940,-2.251516,0.149968,-0.854376,0.034137,0.413437,-0.276792,0.639727,-0.799342,-0.609924,0.002495,141.083980,0.023906,-0.123027,-0.244800
1.000000,0.000252,-0.143481,-0.004305,,,,,,,,,,,0.003937,-0.148358,-0.004697,-2.248584,0.145313,-0.854077,0.019837,0.412374,-0.281740,0.644886,-0.780139,-0.605351,0.011288,139.930793,0.184693,-0.040162,-0.041655
1.100000,-0.108305,-0.224053,0.067076,,,,,,,,,,,-0.105982,-0.233367,0.068712,-2.256260,0.136611,-0.856143,-0.001154,0.405641,-0.289464,0.651646,-0.785843,-0.592397,-0.003564,137.807046,0.088117,0.140102,-0.026783
1.200000,-0.073087,0.031196,-0.030748,148.478699,0.510000,17.532653,52.223814,117.888699,327.304688,18.452963,4.000000,20.941210,0.000000,-0.073053,0.024991,-0.029552,-2.273770,0.137007,-0.859101,0.005243,0.399001,-0.289773,0.652558,-0.787616,-0.595192,0.022894,137.910022,0.068925,0.117569,0.186535
1.300000,-0.011198,0.000076,-0.031623,,,,,,,,,,,-0.008585,0.000833,-0.036821,-2.277262,0.138783,-0.860233,0.013786,0.399182,-0.285279,0.645523,-0.801604,-0.603397,0.009479,137.998399,-0.036316,-0.019711,-0.022464
1.400000,0.006633,-0.205392,0.116135,,,,,,,,,,,0.008019,-0.209793,0.114235,-2.280909,0.135285,-0.860675,0.003843,0.395750,-0.290347,0.652124,-0.791551,-0.606686,0.004706,137.585604,0.032003,-0.000980,0.013944
1.500000,0.002274,0.066692,0.077270,,,,,,,,,,,0.001525,0.060844,0.078149,-2.280859,0.133727,-0.859573,-0.005097,0.393687,-0.297079,0.663679,-0.793114,-0.608345,-0.013579,137.656804,-0.054837,0.088637,-0.081014
1.600000,-0.036140,-0.117055,0.241413,,,,,,,,,,,-0.033008,-0.120591,0.240749,-2.283809,0.134529,-0.858157,-0.009166,0.390737,-0.304591,0.678874,-0.789442,-0.620840,0.001495,138.781753,-0.100722,0.052048,0.072976
